Year,Rates,Bracket_Min,Bracket_Max
2023,10,0,22000
2023,12,22001,89450
2023,22,89451,190750
2023,24,190751,364200
2023,32,364201,462500
2023,35,462501,693750
2023,37,693751,inf
2022,10,0,20550
2022,12,20551,83550
2022,22,83551,178150
2022,24,178151,340100
2022,32,340101,431900
2022,35,431901,647850
2022,37,647851,inf
2021,10,0,19900
2021,12,19901,81050
2021,22,81051,172750
2021,24,172751,329850
2021,32,329851,418850
2021,35,418851,628301
2021,37,628302,inf
2020,10,0,19750
2020,12,19751,80250
2020,22,80251,171050
2020,24,171051,326600
2020,32,326601,414700
2020,35,414701,622050
2020,37,622051,inf
2019,10,0,19400
2019,12,19401,78950
2019,22,78951,168400
2019,24,168401,321450
2019,32,321451,408200
2019,35,408201,612350
2019,37,612351,inf
2018,10,0,19050
2018,12,19051,77400
2018,22,77401,165000
2018,24,165001,315000
2018,32,315001,400000
2018,35,400001,600000
2018,37,600001,inf
2017,10,0,18650
2017,15,18651,75900
2017,25,75901,153100
2017,28,153101,233350
2017,33,"$233,351 ",41670000
2017,35,"$416,701 ",47070000
2017,39.6,"$470,701 ",inf
2016,10,$0 ,1855000
2016,15,18551,75300
2016,25,75301,151900
2016,28,151901,231450
2016,33,231451,413350
2016,35,413351,466950
2016,39.6,466951,inf
2015,10,0,18451
2015,15,18452,74901
2015,25,74902,151201
2015,28,151202,230451
2015,33,230452,411501
2015,35,411502,464851
2015,39.6,464852,inf
2014,10,0,18151
2014,15,18152,73801
2014,25,73802,148851
2014,28,148852,226851
2014,33,226852,405101
2014,35,405102,457601
2014,39.6,457602,inf
2013,10,0,17850
2013,15,17851,72500
2013,25,72501,146400
2013,28,146401,223050
2013,33,223051,398350
2013,35,398351,450000
2013,39.6,450001,inf
2012,10,0,17400
2012,15,17401,70700
2012,25,70701,142700
2012,28,142701,217450
2012,33,217451,388350
2012,35,388351,inf
2011,10,0,17000
2011,15,17001,69000
2011,25,69001,139350
2011,28,139351,212300
2011,33,212301,379150
2011,35,379151,inf
2010,10,0,16750
2010,15,16751,68000
2010,25,68001,137300
2010,28,137301,209250
2010,33,209251,373650
2010,35,373651,inf
2009,10,0,16700
2009,15,16701,67900
2009,25,67901,137050
2009,28,137051,208850
2009,33,208851,372950
2009,35,372951,inf
2008,10,0,16050
2008,15,16051,65100
2008,25,65101,131450
2008,28,131451,200300
2008,33,200301,357700
2008,35,357701,inf
2007,10,0,15650
2007,15,15651,63700
2007,25,63701,128500
2007,28,128501,195850
2007,33,195851,349700
2007,35,349701,inf
2006,10,0,15100
2006,15,15101,61300
2006,25,61301,123700
2006,28,123701,188450
2006,33,188451,336550
2006,35,336551,inf
2005,10,0,14600
2005,15,14601,59400
2005,25,59401,119950
2005,28,119951,182800
2005,33,182801,326450
2005,35,326451,inf
2004,10,0,14300
2004,15,14301,58100
2004,25,58101,117250
2004,28,117251,178650
2004,33,178651,319100
2004,35,319101,inf
2003,10,0,14000
2003,15,14001,56800
2003,25,56801,114650
2003,28,114651,174700
2003,33,174701,311950
2003,35,311951,inf
2002,10,0,12000
2002,15,12001,46700
2002,27,46701,112850
2002,30,112851,171950
2002,35,171951,307050
2002,38.6,307051,inf
2001,15,0,45200
2001,27.5,45201,109250
2001,30.5,109251,166500
2001,35.5,166501,297350
2001,39.1,297351,inf
2000,15,0,43850
2000,28,43851,105950
2000,31,105951,161450
2000,36,161451,288350
2000,39.6,288351,inf
1999,15,0,43050
1999,28,43051,104050
1999,31,104051,158550
1999,36,158551,283150
1999,39.6,283151,inf
1998,15,0,42350
1998,28,42351,102300
1998,31,102301,155950
1998,36,155951,278450
1998,39.6,278451,inf
1997,15,0,41200
1997,28,41201,99600
1997,31,99601,151750
1997,36,151751,271050
1997,39.6,271051,inf
1996,15,0,40100
1996,28,40101,96900
1996,31,96901,147700
1996,36,147701,263750
1996,39.6,263751,inf
1995,15,0,39000
1995,28,39001,94250
1995,31,94251,143600
1995,36,143601,256500
1995,39.6,256501,inf
1994,15,0,38000
1994,28,38001,91850
1994,31,91851,140000
1994,36,140001,250000
1994,39.6,250001,inf
1993,15,0,36900
1993,28,36901,89150
1993,31,89151,140000
1993,36,140001,250000
1993,39.6,250001,inf
1992,15,0,35800
1992,28,35801,86500
1992,31,86501,inf
1991,15,0,34000
1991,28,34001,82150
1991,31,82151,inf
1990,15,0,32450
1990,28,32451,inf
1989,15,0,30950
1989,28,30951,inf
1988,15,0,29750
1988,28,29751,inf
1987,11,0,3000
1987,15,3001,28000
1987,28,28001,45000
1987,35,45001,90000
1987,38.5,90001,inf
1986,0,0,3670
1986,11,3671,5940
1986,12,5941,8200
1986,14,8201,12840
1986,16,12841,17270
1986,18,17271,21800
1986,22,21801,26550
1986,25,26551,32270
1986,28,32271,37980
1986,33,37981,49420
1986,38,49421,64750
1986,42,64751,92370
1986,45,92371,118050
1986,49,118051,175250
1986,50,175251,inf
1985,0,0,3540
1985,11,3541,5720
1985,12,5721,7910
1985,14,7911,12390
1985,16,12391,16650
1985,18,16651,21020
1985,22,21021,25600
1985,25,25601,31120
1985,28,31121,36630
1985,33,36631,47670
1985,38,47671,62450
1985,42,62451,89090
1985,45,89091,113860
1985,49,113861,169020
1985,50,169021,inf
1984,0,0,3400
1984,11,3401,5500
1984,12,5501,7600
1984,14,7601,11900
1984,16,11901,16000
1984,18,16001,20200
1984,22,20201,24600
1984,25,24601,29900
1984,28,29901,35200
1984,33,35201,45800
1984,38,45801,60000
1984,42,60001,85600
1984,45,85601,109400
1984,49,109401,162400
1984,50,162401,inf
1983,0,0,3400
1983,11,3401,5500
1983,13,5501,7600
1983,15,7601,11900
1983,17,11901,16000
1983,19,16001,20200
1983,23,20201,24600
1983,26,24601,29900
1983,30,29901,35200
1983,35,35201,45800
1983,40,45801,60000
1983,44,60001,85600
1983,48,85601,109400
1983,50,109401,inf
1982,0,0,3400
1982,12,3401,5500
1982,14,5501,7600
1982,16,7601,11900
1982,19,11901,16000
1982,22,16001,20200
1982,25,20201,24600
1982,29,24601,29900
1982,33,29901,35200
1982,39,35201,45800
1982,44,45801,60000
1982,49,60001,85600
1982,50,85601,inf
1981,0,0,3400
1981,14,3401,5500
1981,16,5501,7600
1981,18,7601,11900
1981,21,11901,16000
1981,24,16001,20200
1981,28,20201,24600
1981,32,24601,29900
1981,37,29901,35200
1981,43,35201,45800
1981,49,45801,60000
1981,54,60001,85600
1981,59,85601,109400
1981,64,109401,162400
1981,68,162401,215400
1981,70,215401,inf
1980,0,0,3400
1980,14,3401,5500
1980,16,5501,7600
1980,18,7601,11900
1980,21,11901,16000
1980,24,16001,20200
1980,28,20201,24600
1980,32,24601,29900
1980,37,29901,35200
1980,43,35201,45800
1980,49,45801,60000
1980,54,60001,85600
1980,59,85601,109400
1980,64,109401,162400
1980,68,162401,215400
1980,70,215401,inf